iterations,learning_rate,depth,l2_leaf_reg,MAE,RMSE,sMAPE,MAPE,training_time_seconds,prediction_time_seconds,stage,config_id
600,0.04,9,5.0,19.239601142768574,56.555438352708016,80.11047481126717,274.47716683624697,72.06911839998793,0.1392994000343606,Stage 2,7
600,0.04,8,7.0,19.255596686239393,56.864664637270174,79.96429054203313,273.23976621736733,56.23194590001367,0.06425349996425211,Stage 2,9
600,0.04,8,5.0,19.31581683598507,56.68422541787381,79.89426146031781,272.5020082161013,60.35776819998864,0.057836499996483326,Stage 2,1
600,0.04,7,5.0,19.340062613979367,56.616044406229534,79.92582598403062,271.3527923043025,46.97242250002455,0.06554820004384965,Stage 2,6
500,0.04,8,5.0,19.345733872037844,56.50271817591418,80.23033576252237,274.9099244769498,46.92102430004161,0.04682449996471405,Stage 2,5
800,0.04,8,5.0,19.515506287316075,57.03028951570216,80.01084312614289,274.8687208831099,73.53260739997495,0.06298389995936304,Stage 2,4
500,0.05,8,5.0,19.560067105522393,57.24958554498693,80.05433686675862,274.9967797719631,47.125829500029795,0.057442299905233085,Stage 2,3
700,0.035,8,5.0,19.573308163492765,57.00200833676912,80.68062971553236,280.6606696648943,67.70733489992563,0.06178310001268983,Stage 2,2
600,0.04,8,10.0,19.753354054812462,58.016587057484536,80.79798455061294,281.30099226909607,55.991581499925815,0.06173219997435808,Stage 2,10
700,0.035,7,7.0,19.838051742768023,57.27711342019711,80.92036459961987,282.5053201458225,55.57796180003788,0.059384599910117686,Stage 2,12
700,0.035,9,5.0,19.840575554843777,57.863120412479816,80.17599851422443,279.2776154161328,77.55130859999917,0.14044170000124723,Stage 2,11
600,0.04,8,3.0,20.51280612230443,58.669121029994045,80.86958417297191,290.8335338104298,58.89484620001167,0.08065410004928708,Stage 2,8
