learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,MAE,RMSE,sMAPE,MAPE,training_time_seconds,prediction_time_seconds,stage,config_id
0.03,500,15,40,5.0,18.737257979678596,55.41622287176209,83.40533591942017,294.06256927463795,0.6627424999605864,0.12137890001758933,Stage 2,12
0.03,500,31,60,5.0,19.03439181164484,55.512241330811484,85.30189537274742,305.7702293589853,0.6312723000301048,0.10097959998529404,Stage 2,8
0.03,500,31,40,10.0,19.060966182170077,55.69948595182052,83.35452739035372,295.1210268154028,0.8850639999145642,0.14703190000727773,Stage 2,11
0.03,500,31,50,5.0,19.11934032932815,55.56169565537588,84.60411896208112,303.2735153620754,0.6700943999458104,0.10948560002725571,Stage 2,7
0.03,500,31,30,5.0,19.15905897060581,55.79716301968592,84.06159258956714,300.48835671847496,0.7804236999945715,0.12721559999044985,Stage 2,6
0.03,500,31,40,3.0,19.229615092384105,55.76300819874156,82.91812466735523,294.90453745126246,0.9240251000737771,0.16319180000573397,Stage 2,9
0.03,500,31,40,7.0,19.24057695764329,55.84557321668936,83.54642621894548,297.52169107232305,0.8634660999523476,0.1428279000101611,Stage 2,10
0.03,500,31,40,5.0,19.338001628304674,55.950509501846284,83.21844148814844,296.0845246213005,1.178219599998556,0.1543884000275284,Stage 2,1
0.04,400,31,40,5.0,19.385307398467404,55.88372987157087,84.12967024859554,301.27951585023595,0.6797608999768272,0.10375020001083612,Stage 2,3
0.02,600,31,40,5.0,19.471361761202978,55.96544252987298,82.7197016244338,295.4716043290351,1.5594310999149457,0.2733960000332445,Stage 2,2
0.03,400,31,40,5.0,19.705100227178242,56.625785882060526,81.89382577049193,290.5365932214005,1.4515656000003219,0.2638957001036033,Stage 2,4
0.03,600,31,40,5.0,19.738823647995833,56.413822946917186,81.8744323504992,291.85420726589246,1.570848700008355,0.3078269000397995,Stage 2,5
