iter	RMSE
0	59.5169711
1	59.2462913
2	59.01795857
3	58.77951099
4	58.57033666
5	58.37243254
6	58.19662564
7	58.03322734
8	57.8697348
9	57.73018779
10	57.59496425
11	57.46091017
12	57.33797804
13	57.23528049
14	57.13586796
15	57.01390539
16	56.93076261
17	56.85260723
18	56.7664217
19	56.68788323
20	56.59032627
21	56.51924637
22	56.43453408
23	56.37293736
24	56.31038439
25	56.25424592
26	56.20960759
27	56.16913856
28	56.11570769
29	56.07299021
30	56.01341376
31	55.96241683
32	55.89664303
33	55.81543354
34	55.74448838
35	55.71067955
36	55.66974878
37	55.63400907
38	55.60004171
39	55.55877219
40	55.52150745
41	55.48629869
42	55.4584403
43	55.41598415
44	55.37023519
45	55.34104266
46	55.31519032
47	55.28547886
48	55.25672783
49	55.22518556
50	55.19725123
51	55.16580594
52	55.13384154
53	55.08846982
54	55.04048196
55	55.0150054
56	55.00110053
57	54.96745275
58	54.9163852
59	54.88362769
60	54.86442419
61	54.84849342
62	54.82093482
63	54.78918579
64	54.77213416
65	54.75374012
66	54.71741189
67	54.69523267
68	54.6627827
69	54.64319702
70	54.60414058
71	54.58889132
72	54.57604387
73	54.55719511
74	54.49900205
75	54.45864009
76	54.43257071
77	54.40764984
78	54.38271946
79	54.36634594
80	54.35275176
81	54.32007113
82	54.31074268
83	54.26890763
84	54.24720147
85	54.20659876
86	54.16995453
87	54.13422836
88	54.10885644
89	54.05907061
90	54.01962369
91	54.01348566
92	53.99172715
93	53.97826309
94	53.96682112
95	53.94959183
96	53.94084388
97	53.92576295
98	53.89873194
99	53.87226904
100	53.78561377
101	53.77342888
102	53.74683417
103	53.7300663
104	53.70117117
105	53.6598955
106	53.64174195
107	53.62408971
108	53.61108058
109	53.59853058
110	53.57104115
111	53.55872203
112	53.55014091
113	53.53958222
114	53.51061571
115	53.5012837
116	53.48537776
117	53.47364807
118	53.46095095
119	53.45146404
120	53.41693723
121	53.39153024
122	53.37430539
123	53.36236705
124	53.35791612
125	53.34553925
126	53.32190119
127	53.29758495
128	53.26329761
129	53.23449792
130	53.21901652
131	53.20800829
132	53.20323918
133	53.17679789
134	53.15947165
135	53.13986417
136	53.13430887
137	53.13012955
138	53.11358269
139	53.10033784
140	53.08763946
141	53.06747621
142	53.05613612
143	53.03109093
144	53.01140062
145	52.98813932
146	52.97530208
147	52.95437619
148	52.94368667
149	52.93194535
150	52.9222489
151	52.91763685
152	52.90889433
153	52.87056576
154	52.84935444
155	52.83350807
156	52.79656737
157	52.79215093
158	52.78195743
159	52.77368728
160	52.76122847
