iter	Passed	Remaining
0	126	75831
1	273	81712
2	402	80088
3	555	82798
4	718	85493
5	880	87193
6	1032	87482
7	1245	92193
8	1406	92391
9	1567	92510
10	1689	90489
11	1806	88511
12	1938	87534
13	2073	86774
14	2201	85852
15	2326	84931
16	2448	83963
17	2570	83113
18	2683	82073
19	2804	81328
20	2929	80768
21	3049	80122
22	3159	79274
23	3274	78586
24	3401	78232
25	3510	77507
26	3622	76885
27	3732	76256
28	3847	75760
29	3955	75155
30	4063	74584
31	4171	74047
32	4285	73640
33	4395	73172
34	4501	72670
35	4615	72316
36	4734	72044
37	4839	71577
38	4955	71288
39	5065	70915
40	5182	70665
41	5288	70266
42	5404	70008
43	5511	69639
44	5626	69387
45	5736	69093
46	5850	68839
47	5957	68511
48	6065	68204
49	6189	68081
50	6297	67787
51	6402	67477
52	6513	67225
53	6632	67063
54	6742	66813
55	6859	66637
56	6980	66494
57	7089	66252
58	7206	66078
59	7328	65957
60	7458	65899
61	7582	65799
62	7702	65650
63	7817	65468
64	7934	65304
65	8049	65128
66	8168	64985
67	8280	64782
68	8387	64551
69	8495	64319
70	8614	64186
71	8731	64027
72	8848	63877
73	9001	63985
74	9133	63933
75	9252	63792
76	9362	63589
77	9484	63473
78	9614	63407
79	9744	63336
80	9866	63219
81	9985	63077
82	10134	63126
83	10250	62967
84	10362	62786
85	10471	62587
86	10604	62531
87	10726	62411
88	10845	62270
89	10967	62146
90	11095	62061
91	11223	61971
92	11344	61847
93	11459	61688
94	11582	61570
95	11684	61343
96	11790	61141
97	11907	60996
98	12038	60922
99	12171	60859
100	12302	60784
101	12431	60697
102	12566	60637
103	12690	60524
104	12806	60375
105	12914	60186
106	13046	60112
107	13163	59965
108	13280	59824
109	13330	59383
110	13446	59238
111	13567	59116
112	13684	58976
113	13808	58868
114	13927	58739
115	14058	58656
116	14180	58541
117	14317	58481
118	14450	58409
119	14580	58323
120	14704	58211
121	14852	58192
122	14980	58094
123	15124	58059
124	15281	58068
125	15421	58014
126	15571	57995
127	15706	57918
128	15873	57955
129	16010	57885
130	16144	57800
131	16315	57845
132	16445	57743
133	16571	57628
134	16700	57523
135	16830	57421
136	16947	57276
137	17066	57134
138	17187	57002
139	17311	56881
140	17428	56734
141	17548	56600
142	17668	56463
143	17796	56356
144	17914	56214
145	18039	56094
146	18148	55927
147	18266	55788
148	18391	55666
149	18522	55566
150	18659	55483
151	18829	55498
152	18964	55404
153	19089	55286
154	19202	55130
155	19330	55016
156	19443	54862
157	19556	54708
158	19669	54554
159	19798	54447
160	19925	54330
161	20050	54211
162	20168	54070
163	20289	53940
164	20411	53813
